id,category,type,front,back,example,hint
v0001,Accounting Foundations,Vocabulary,account,Konto,We need to reconcile an account before the accounting treatment is finalised.,Fachbegriff
c0002,Accounting Foundations,Collocation,reconcile an account,ein Konto abstimmen,We need to reconcile an account before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0003,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „ein Konto abstimmen.“,reconcile an account,We need to reconcile an account before the accounting treatment is finalised.,Aktive Anwendung
v0004,Accounting Foundations,Vocabulary,account balance,Kontosaldo,We need to confirm the account balance before the accounting treatment is finalised.,Fachbegriff
c0005,Accounting Foundations,Collocation,confirm the account balance,den Kontosaldo bestätigen,We need to confirm the account balance before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0006,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „den Kontosaldo bestätigen.“,confirm the account balance,We need to confirm the account balance before the accounting treatment is finalised.,Aktive Anwendung
v0007,Accounting Foundations,Vocabulary,accounting entry,Buchung,We need to post an accounting entry before the accounting treatment is finalised.,Fachbegriff
c0008,Accounting Foundations,Collocation,post an accounting entry,eine Buchung erfassen,We need to post an accounting entry before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0009,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „eine Buchung erfassen.“,post an accounting entry,We need to post an accounting entry before the accounting treatment is finalised.,Aktive Anwendung
v0010,Accounting Foundations,Vocabulary,accounting period,Abrechnungsperiode,We need to close the accounting period before the accounting treatment is finalised.,Fachbegriff
c0011,Accounting Foundations,Collocation,close the accounting period,die Abrechnungsperiode schließen,We need to close the accounting period before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0012,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „die Abrechnungsperiode schließen.“,close the accounting period,We need to close the accounting period before the accounting treatment is finalised.,Aktive Anwendung
v0013,Accounting Foundations,Vocabulary,asset,Vermögenswert,We need to recognise an asset before the accounting treatment is finalised.,Fachbegriff
c0014,Accounting Foundations,Collocation,recognise an asset,einen Vermögenswert ansetzen,We need to recognise an asset before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0015,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „einen Vermögenswert ansetzen.“,recognise an asset,We need to recognise an asset before the accounting treatment is finalised.,Aktive Anwendung
v0016,Accounting Foundations,Vocabulary,liability,Verbindlichkeit,We need to recognise a liability before the accounting treatment is finalised.,Fachbegriff
c0017,Accounting Foundations,Collocation,recognise a liability,eine Verbindlichkeit ansetzen,We need to recognise a liability before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0018,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „eine Verbindlichkeit ansetzen.“,recognise a liability,We need to recognise a liability before the accounting treatment is finalised.,Aktive Anwendung
v0019,Accounting Foundations,Vocabulary,equity,Eigenkapital,We need to analyse changes in equity before the accounting treatment is finalised.,Fachbegriff
c0020,Accounting Foundations,Collocation,analyse changes in equity,Veränderungen im Eigenkapital analysieren,We need to analyse changes in equity before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0021,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „Veränderungen im Eigenkapital analysieren.“,analyse changes in equity,We need to analyse changes in equity before the accounting treatment is finalised.,Aktive Anwendung
v0022,Accounting Foundations,Vocabulary,revenue,Umsatzerlös,We need to recognise revenue before the accounting treatment is finalised.,Fachbegriff
c0023,Accounting Foundations,Collocation,recognise revenue,Umsatzerlöse erfassen,We need to recognise revenue before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0024,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „Umsatzerlöse erfassen.“,recognise revenue,We need to recognise revenue before the accounting treatment is finalised.,Aktive Anwendung
v0025,Accounting Foundations,Vocabulary,expense,Aufwand,We need to record an expense before the accounting treatment is finalised.,Fachbegriff
c0026,Accounting Foundations,Collocation,record an expense,einen Aufwand buchen,We need to record an expense before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0027,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „einen Aufwand buchen.“,record an expense,We need to record an expense before the accounting treatment is finalised.,Aktive Anwendung
v0028,Accounting Foundations,Vocabulary,income,Ertrag,We need to recognise income before the accounting treatment is finalised.,Fachbegriff
